model_name,dim_name,dim_text
gemini-3.0-pro,Emotional,"Understanding and managing feelings while coping effectively with stress and life challenges."
gemini-3.0-pro,Environmental,"Occupying pleasant surroundings that support well-being and maintaining a respectful relationship with the earth."
gemini-3.0-pro,Financial,"Managing economic resources effectively to meet current needs and future goals while minimizing stress."
gemini-3.0-pro,Intellectual,"Engaging in creative and mentally stimulating activities to expand knowledge and skills."
gemini-3.0-pro,Occupational,"Deriving personal satisfaction and enrichment from one's work and maintaining a balance between work and leisure."
gemini-3.0-pro,Physical,"Caring for the body through physical activity, proper nutrition, and adequate sleep to prevent illness."
gemini-3.0-pro,Social,"Building healthy relationships and fostering a genuine connection with others and the community."
gemini-3.0-pro,Spiritual,"Seeking meaning and purpose in human existence and acting in consistency with personal values and beliefs."
DeepSeek-V3.2,Emotional,"The state and management of one's internal feelings and emotional responses to life experiences."
DeepSeek-V3.2,Environmental,"The relationship between an individual and their surrounding spaces, including comfort and safety within those spaces."
DeepSeek-V3.2,Financial,"The management of personal economic resources to meet needs and support one's desired life."
DeepSeek-V3.2,Intellectual,"The engagement in activities that stimulate mental growth, curiosity, and learning."
DeepSeek-V3.2,Occupational,"The personal satisfaction and enrichment derived from one's work or vocational activities."
DeepSeek-V3.2,Physical,"The condition and care of the body through activity, nutrition, and rest."
DeepSeek-V3.2,Social,"The quality of connections and relationships with other people in one's life."
DeepSeek-V3.2,Spiritual,"The pursuit of meaning, purpose, and connection to something greater than oneself."
ChatGPT-5.2,Emotional,"The ability to recognize, understand, express, and manage feelings in ways that support resilience, balance, and healthy responses to life events."
ChatGPT-5.2,Environmental,"The quality of interaction with surrounding spaces, resources, and conditions that influence comfort, safety, and daily functioning."
ChatGPT-5.2,Financial,"The capacity to manage money decisions and resources in ways that support stability, choice, and future needs."
ChatGPT-5.2,Intellectual,"The ongoing engagement with learning, curiosity, creativity, and critical thinking to expand understanding and skills."
ChatGPT-5.2,Occupational,"The sense of purpose, satisfaction, and alignment experienced through work or meaningful daily roles."
ChatGPT-5.2,Physical,"The state of the body and the habits that support energy, strength, mobility, and overall functioning."
ChatGPT-5.2,Social,"The ability to build, maintain, and experience supportive relationships and a sense of belonging."
ChatGPT-5.2,Spiritual,"The way meaning, values, and connection guide a personâ€™s sense of direction and inner coherence."
claude-sonnet-4.5,Emotional,"The capacity to understand and manage your feelings in ways that support your wellbeing and help you navigate life's challenges with resilience."
claude-sonnet-4.5,Environmental,"The quality of your relationship with your surroundings and your efforts to create spaces and conditions that support health and safety."
claude-sonnet-4.5,Financial,"The ability to manage your economic resources effectively to meet current needs and work toward future goals without constant stress or instability."
claude-sonnet-4.5,Intellectual,"The pursuit of mental growth through learning, creativity, and engagement with ideas that expand your understanding and skills."
claude-sonnet-4.5,Occupational,"The satisfaction and meaning you derive from your work or daily activities, and the balance between your efforts and their impact on your overall life."
claude-sonnet-4.5,Physical,"The state of your body's health and your practices for maintaining strength, energy, and functioning through movement, rest, and care."
claude-sonnet-4.5,Social,"The quality of your connections with others and your ability to build and maintain relationships that provide support, belonging, and mutual benefit."
claude-sonnet-4.5,Spiritual,"The sense of purpose, meaning, and connection to something beyond yourself that guides your values and provides direction in life."
Llama-4,Emotional,"The ability to recognize and manage your feelings, values, and attitudes to build resilience and cope with life's challenges."
Llama-4,Environmental,"The surroundings and conditions that impact your daily life, including air and water quality, noise levels, and access to green spaces."
Llama-4,Financial,"Your relationship with money, including financial stability, security, and satisfaction with your economic situation."
Llama-4,Intellectual,"Engaging in activities that stimulate your mind, promote curiosity, and support lifelong learning and personal growth."
Llama-4,Occupational,"Finding fulfillment and satisfaction in your work, career, or other productive activities that give you a sense of purpose."
Llama-4,Physical,"Your body's overall health, including nutrition, physical activity, and self-care habits that support optimal functioning."
Llama-4,Social,"The relationships and connections you have with others, including friends, family, and community networks."
Llama-4,Spiritual,"Your connection to something greater than yourself, including your values, purpose, and sense of meaning in life."